,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Exponencial,0.0037,0.0015,0.0094,0.0087,0.0047,0.0062,0.0065,0.0039,0.0036,0.0060,0.0056,0.0057,0.0085,0.0103,0.0138,0.0224,0.0256,0.0320,0.0416,0.0537,0.0734,0.0972,0.1261,0.1651,0.2135,0.2992,0.3755,0.5024,0.8540,1.0256,1.5574,1.7819,2.4386,3.2854,4.2199,5.4523,7.1073,9.6140,12.9052,18.2162,23.3634
Programação dinâmica,0.0010,0.0004,0.0010,0.0007,0.0004,0.0014,0.0004,0.0004,0.0002,0.0002,0.0002,0.0009,0.0004,0.0003,0.0003,0.0003,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0004,0.0006,0.0004,0.0010,0.0004,0.0004,0.0005,0.0005,0.0004,0.0009,0.0009,0.0008,0.0005
